Provinsi,Tahun,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen),Stunting,Konsumsi Kalori Per Hari Per Kapita,Konsumsi Protein Per Hari Per Kapita,Kemisikinan Maret,Akses Sanitasi Bersih,Proporsi Wanita Menikah/Menjadi Ibu di Usia Muda,Persentase Bayi Usia 0-6 Bulan Mendapatkan ASI,Melahirkan di Faskes
NUSA TENGGARA BARAT,2022,98.47,95.39,61,2.24,31.4,2460.44,74.82,13.68,83.12,16.23,79.69,95.91
NUSA TENGGARA TIMUR,2022,92.35,83.25,38.47,13.74,37.8,1974.12,56.36,20.05,73.7,5.71,78.56,85.79
KALIMANTAN BARAT,2022,95.13,81.82,58.4,19.22,29.8,1892.26,58.19,6.73,77.41,12.84,72.66,79.48
KALIMANTAN TENGAH,2022,98.51,87.79,61.88,12.83,27.4,2116.05,65.01,5.28,74.33,14.72,55.26,71.37
KALIMANTAN SELATAN,2022,94.68,87.95,67.81,4.47,30,2188.8,68.01,4.49,82.55,10.53,64.59,88.04
KALIMANTAN TIMUR,2022,99.18,95.32,74,16.19,22.8,1918.34,63,6.31,90.33,7.22,76.58,93.24
KALIMANTAN UTARA,2022,96.94,90.55,54.8,23.01,27.5,1857.92,59.74,6.77,82.22,8.37,78.7,94.41
SULAWESI UTARA,2022,96.74,91.98,66.66,6.22,21.6,2154.56,68.06,7.28,84.05,8.82,63.15,90.28
SULAWESI TENGAH,2022,97.19,88.9,53.73,11.92,29.7,2001.12,58.12,12.33,75.01,12.65,65.84,86.32
SULAWESI SELATAN,2022,98.05,90.55,68.32,10.79,27.4,2077.92,64.18,8.63,92.24,9.33,75.88,96.32
SULAWESI TENGGARA,2022,97.24,91.19,65.97,17.14,30.2,1948.63,60.39,11.17,87.07,12.26,61.68,85.23
GORONTALO,2022,95.12,80.56,45.12,18.63,29,1958.11,57.1,15.42,79.82,13.65,53.6,94.94
SULAWESI BARAT,2022,97.15,84.14,55.18,9.82,33.8,2082.99,61.4,11.75,78.88,11.7,74.67,88.84
MALUKU,2022,98.98,93.65,72.08,31.68,28.1,1836.68,52.91,15.97,76.47,3.89,59.62,48.65
MALUKU UTARA,2022,97.72,94.92,67.1,30.71,27.5,1843.68,54.76,6.23,79.39,12.52,68.83,67.71
PAPUA BARAT,2022,93.94,87.03,57.07,29.38,26.2,1879.75,55.32,21.33,73.52,7.54,61.79,70.8
PAPUA,2022,81.99,66.16,39.01,36.18,29.5,1902.04,45.07,26.56,40.34,9.7,74.18,73.28
ACEH,2023,99.08,94.55,74.46,9.44,29.3,2052.85,61.05,14.45,78.85,3.16,67.05,94.43
SUMATERA UTARA,2023,98.75,94.35,74.43,8.6,18.9,2093.67,62.91,8.15,84.18,2.38,61.98,89.37
SUMATERA BARAT,2023,95.81,90.65,68.64,7.63,23.7,2086.06,58.68,5.95,70.97,4,75.84,95.94
RIAU,2023,98.09,90.52,67.79,12.33,13.6,2048.04,59.97,6.68,84.58,3.45,71.14,87.51
JAMBI,2023,97.76,89.35,66.62,12.83,13.5,2042.69,59.52,7.58,83.04,6.89,74.14,81.12
SUMATERA SELATAN,2023,97.58,87.95,64.81,6.53,20.3,2191.06,65.1,11.78,80.54,11.41,75.59,87.23
BENGKULU,2023,97.1,89.25,63.41,9.25,20.2,2059.98,60.32,14.04,80.28,7.01,72.44,93.74
LAMPUNG,2023,98.67,87.67,64.54,8.81,14.9,2096.21,60.13,11.11,84.58,7.11,76.2,94.02
KEP. BANGKA BELITUNG,2023,96.01,87.11,68.96,13.35,20.7,2058.61,66.38,4.52,93.21,8.93,63.3,97.52
KEP. RIAU,2023,97.92,95.51,78.97,9.83,16.8,2047.79,66.5,5.69,91.1,0.88,62.88,97.81
DKI JAKARTA,2023,98.66,95.85,88.1,2.57,17.6,2157.83,70.65,4.44,93.5,2.12,76.39,98.15
JAWA BARAT,2023,99.09,91.42,66.47,5.5,21.7,2110.33,63.44,7.62,74.88,6.79,80.08,86.45
JAWA TENGAH,2023,98.42,90.64,58.35,10.44,20.7,2024.95,59.65,10.77,85.2,7.82,80.2,98.3
DI YOGYAKARTA,2023,98.95,97.02,89.69,10.08,18,2052.77,63.78,11.04,96.42,2.05,78.25,99.99
JAWA TIMUR,2023,98.78,90.74,68.65,8.09,17.6,2068.37,60.66,10.35,83.72,8.86,72.68,97.57
BANTEN,2023,97.15,90.86,70.07,2.87,23.9,2207.37,66.93,6.17,86.41,3.86,74.62,88.68
BALI,2023,98.43,93.03,76.51,3.77,7.2,2263.58,65.86,4.25,95.7,4.71,69.01,99.51
NUSA TENGGARA BARAT,2023,98.11,92.95,63.66,2.17,24.5,2484.92,76.12,13.85,85.11,17.32,82.45,96.47
NUSA TENGGARA TIMUR,2023,93.41,82.48,43.46,14.98,37.9,1938.18,54.54,19.96,75.67,4.97,78.74,86.12
KALIMANTAN BARAT,2023,95.33,81.56,55.58,15.03,24.5,1919.5,58.63,6.71,79.89,11.29,72.97,82.65
KALIMANTAN TENGAH,2023,97.47,88.92,63.93,9.37,23.5,2133.87,64.01,5.11,76.31,10.94,55.78,67.19
KALIMANTAN SELATAN,2023,95.99,88.19,68.35,4.48,24.7,2167.47,67.36,4.29,82.89,8.74,65.69,89.44
KALIMANTAN TIMUR,2023,97.88,94.85,73.63,9.2,22.8,2008.81,65.72,6.11,91.21,6.3,77.7,94.93
KALIMANTAN UTARA,2023,96.41,88.08,59.5,15.92,17.4,1891.28,62.11,6.45,84.22,8.01,77.81,94.62
SULAWESI UTARA,2023,96.18,92.07,67.57,6.26,21.3,2104.76,65.22,7.38,85.91,10.15,64.4,91.39
SULAWESI TENGAH,2023,97.56,90.05,55.69,10.09,27.2,2055.42,59.04,12.41,75.8,8.91,66.7,88.6
SULAWESI SELATAN,2023,98.37,88.74,67.41,7.84,27.4,2110.28,64.14,8.7,93.69,7.48,77.2,96.61
SULAWESI TENGGARA,2023,97.83,89.55,68.28,10.49,30,2019.29,61.37,11.43,88.99,10.43,62.99,83.91
GORONTALO,2023,93.69,83.71,46.19,15.1,26.8,1996.25,58.46,15.15,81.72,10.91,55.11,95.47
SULAWESI BARAT,2023,95.13,84.04,54.79,8.29,30.4,2099.73,59.94,11.49,80.73,11.25,75.04,89.5
MALUKU,2023,98.69,93.9,75.01,30.27,28.4,1819.57,52.86,16.42,78.17,5.11,61.52,52.7
MALUKU UTARA,2023,98.3,93.46,64.61,29.56,23.6,1822.8,52.7,6.46,80.64,7.3,69.66,68.33
PAPUA BARAT,2023,92.69,88.63,59.99,24,39.3,1859.62,54.62,20.49,76.3,7.86,62.92,70.8
PAPUA,2023,80.09,67.12,39.5,35.63,24.8,1902.72,46.8,26.03,43,11.19,55.41,76.19
